Causas (lista reducida);Sexo;Provincia de residencia;Total
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Pontevedra;384
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Rioja, La;89
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Salamanca;203
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Santa Cruz de Tenerife;410
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Segovia;59
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Sevilla;538
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Soria;60
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Tarragona;333
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Teruel;75
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Toledo;268
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Valencia/Valncia;911
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Valladolid;290
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Zamora;168
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Zaragoza;514
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Ceuta;31
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Melilla;28
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Extranjero;63
00A Covid-19 Virus identificado;Ambos sexos;Total;31.606
00A Covid-19 Virus identificado;Ambos sexos;Albacete;299
00A Covid-19 Virus identificado;Ambos sexos;Alicante/Alacant;950
00A Covid-19 Virus identificado;Ambos sexos;Almería;430
00A Covid-19 Virus identificado;Ambos sexos;Araba/Alava;225
00A Covid-19 Virus identificado;Ambos sexos;Asturias;1.351
00A Covid-19 Virus identificado;Ambos sexos;Avila;204
00A Covid-19 Virus identificado;Ambos sexos;Badajoz;502
00A Covid-19 Virus identificado;Ambos sexos;Balears, Illes;581
00A Covid-19 Virus identificado;Ambos sexos;Barcelona;3.661
00A Covid-19 Virus identificado;Ambos sexos;Bizkaia;916
00A Covid-19 Virus identificado;Ambos sexos;Burgos;328
00A Covid-19 Virus identificado;Ambos sexos;Cáceres;336
00A Covid-19 Virus identificado;Ambos sexos;Cádiz;562
00A Covid-19 Virus identificado;Ambos sexos;Cantabria;405
00A Covid-19 Virus identificado;Ambos sexos;Castellón/Castelló;403
00A Covid-19 Virus identificado;Ambos sexos;Ciudad Real;318
00A Covid-19 Virus identificado;Ambos sexos;Córdoba;558
00A Covid-19 Virus identificado;Ambos sexos;Coruña, A;733
00A Covid-19 Virus identificado;Ambos sexos;Cuenca;192
00A Covid-19 Virus identificado;Ambos sexos;Gipuzkoa;574
00A Covid-19 Virus identificado;Ambos sexos;Girona;486
00A Covid-19 Virus identificado;Ambos sexos;Granada;408
00A Covid-19 Virus identificado;Ambos sexos;Guadalajara;168
00A Covid-19 Virus identificado;Ambos sexos;Huelva;265
00A Covid-19 Virus identificado;Ambos sexos;Huesca;249
00A Covid-19 Virus identificado;Ambos sexos;Jaén;476
