Nacional;Comunidades y Ciudades Autónomas;Causas (lista reducida);Edad;Sexo;Total
Total Nacional;01 Andalucía;073 XII.Enfermedades de la piel y del tejido subcutáneo;De 40 a 44 años;Hombres;0
Total Nacional;01 Andalucía;073 XII.Enfermedades de la piel y del tejido subcutáneo;De 40 a 44 años;Mujeres;1
Total Nacional;01 Andalucía;073 XII.Enfermedades de la piel y del tejido subcutáneo;De 45 a 49 años;Hombres;0
Total Nacional;01 Andalucía;073 XII.Enfermedades de la piel y del tejido subcutáneo;De 45 a 49 años;Mujeres;0
Total Nacional;01 Andalucía;073 XII.Enfermedades de la piel y del tejido subcutáneo;De 50 a 54 años;Hombres;1
Total Nacional;01 Andalucía;073 XII.Enfermedades de la piel y del tejido subcutáneo;De 50 a 54 años;Mujeres;1
Total Nacional;01 Andalucía;073 XII.Enfermedades de la piel y del tejido subcutáneo;De 55 a 59 años;Hombres;1
Total Nacional;01 Andalucía;073 XII.Enfermedades de la piel y del tejido subcutáneo;De 55 a 59 años;Mujeres;0
Total Nacional;01 Andalucía;073 XII.Enfermedades de la piel y del tejido subcutáneo;De 60 a 64 años;Hombres;1
Total Nacional;01 Andalucía;073 XII.Enfermedades de la piel y del tejido subcutáneo;De 60 a 64 años;Mujeres;0
Total Nacional;01 Andalucía;073 XII.Enfermedades de la piel y del tejido subcutáneo;De 65 a 69 años;Hombres;1
Total Nacional;01 Andalucía;073 XII.Enfermedades de la piel y del tejido subcutáneo;De 65 a 69 años;Mujeres;2
Total Nacional;01 Andalucía;073 XII.Enfermedades de la piel y del tejido subcutáneo;De 70 a 74 años;Hombres;7
Total Nacional;01 Andalucía;073 XII.Enfermedades de la piel y del tejido subcutáneo;De 70 a 74 años;Mujeres;4
Total Nacional;01 Andalucía;073 XII.Enfermedades de la piel y del tejido subcutáneo;De 75 a 79 años;Hombres;10
Total Nacional;01 Andalucía;073 XII.Enfermedades de la piel y del tejido subcutáneo;De 75 a 79 años;Mujeres;7
Total Nacional;01 Andalucía;073 XII.Enfermedades de la piel y del tejido subcutáneo;De 80 a 84 años;Hombres;9
Total Nacional;01 Andalucía;073 XII.Enfermedades de la piel y del tejido subcutáneo;De 80 a 84 años;Mujeres;11
Total Nacional;01 Andalucía;073 XII.Enfermedades de la piel y del tejido subcutáneo;De 85 a 89 años;Hombres;17
Total Nacional;01 Andalucía;073 XII.Enfermedades de la piel y del tejido subcutáneo;De 85 a 89 años;Mujeres;23
Total Nacional;01 Andalucía;073 XII.Enfermedades de la piel y del tejido subcutáneo;De 90 a 94 años;Hombres;16
Total Nacional;01 Andalucía;073 XII.Enfermedades de la piel y del tejido subcutáneo;De 90 a 94 años;Mujeres;43
Total Nacional;01 Andalucía;073 XII.Enfermedades de la piel y del tejido subcutáneo;De 95 años y más;Hombres;6
Total Nacional;01 Andalucía;073 XII.Enfermedades de la piel y del tejido subcutáneo;De 95 años y más;Mujeres;16
Total Nacional;01 Andalucía;074-076 XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;De 1 a 14 años;Hombres;0
Total Nacional;01 Andalucía;074-076 XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;De 1 a 14 años;Mujeres;0
Total Nacional;01 Andalucía;074-076 XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;De 15 a 29 años;Hombres;0
Total Nacional;01 Andalucía;074-076 XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;De 15 a 29 años;Mujeres;0
Total Nacional;01 Andalucía;074-076 XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;De 30 a 39 años;Hombres;0
Total Nacional;01 Andalucía;074-076 XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;De 30 a 39 años;Mujeres;0
Total Nacional;01 Andalucía;074-076 XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;De 40 a 44 años;Hombres;1
Total Nacional;01 Andalucía;074-076 XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;De 40 a 44 años;Mujeres;1
Total Nacional;01 Andalucía;074-076 XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;De 45 a 49 años;Hombres;2
Total Nacional;01 Andalucía;074-076 XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;De 45 a 49 años;Mujeres;0
Total Nacional;01 Andalucía;074-076 XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;De 50 a 54 años;Hombres;2
