Nacional;Comunidades y Ciudades Autónomas;Causa de muerte (capítulos de la 10ª revisión de la CIE);Tipo de indicador;Sexo;Total
Total Nacional;02 Aragón;Enfermedades del sistema circulatorio;Nº de APVP;Mujeres;3.410,00
Total Nacional;02 Aragón;Enfermedades del sistema circulatorio;Distribución por capítulos de la CIE;Hombres;20,89
Total Nacional;02 Aragón;Enfermedades del sistema circulatorio;Distribución por capítulos de la CIE;Mujeres;17,36
Total Nacional;02 Aragón;Enfermedades del sistema circulatorio;Tasa estandarizada de APVP (tanto por cien mil);Hombres;1.185,06
Total Nacional;02 Aragón;Enfermedades del sistema circulatorio;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;489,87
Total Nacional;02 Aragón;Enfermedades del sistema circulatorio;Nº medio de APVP;Hombres;11,97
Total Nacional;02 Aragón;Enfermedades del sistema circulatorio;Nº medio de APVP;Mujeres;10,93
Total Nacional;02 Aragón;Enfermedades del sistema respiratorio;Nº de APVP;Hombres;1.987,50
Total Nacional;02 Aragón;Enfermedades del sistema respiratorio;Nº de APVP;Mujeres;907,50
Total Nacional;02 Aragón;Enfermedades del sistema respiratorio;Distribución por capítulos de la CIE;Hombres;5,12
Total Nacional;02 Aragón;Enfermedades del sistema respiratorio;Distribución por capítulos de la CIE;Mujeres;4,62
Total Nacional;02 Aragón;Enfermedades del sistema respiratorio;Tasa estandarizada de APVP (tanto por cien mil);Hombres;299,54
Total Nacional;02 Aragón;Enfermedades del sistema respiratorio;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;127,03
Total Nacional;02 Aragón;Enfermedades del sistema respiratorio;Nº medio de APVP;Hombres;10,19
Total Nacional;02 Aragón;Enfermedades del sistema respiratorio;Nº medio de APVP;Mujeres;8,99
Total Nacional;02 Aragón;Enfermedades del sistema digestivo;Nº de APVP;Hombres;2.347,50
Total Nacional;02 Aragón;Enfermedades del sistema digestivo;Nº de APVP;Mujeres;700,00
Total Nacional;02 Aragón;Enfermedades del sistema digestivo;Distribución por capítulos de la CIE;Hombres;6,04
Total Nacional;02 Aragón;Enfermedades del sistema digestivo;Distribución por capítulos de la CIE;Mujeres;3,56
Total Nacional;02 Aragón;Enfermedades del sistema digestivo;Tasa estandarizada de APVP (tanto por cien mil);Hombres;339,94
Total Nacional;02 Aragón;Enfermedades del sistema digestivo;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;100,30
Total Nacional;02 Aragón;Enfermedades del sistema digestivo;Nº medio de APVP;Hombres;13,11
Total Nacional;02 Aragón;Enfermedades del sistema digestivo;Nº medio de APVP;Mujeres;10,29
Total Nacional;02 Aragón;Enfermedades de la piel y del tejido subcutáneo;Nº de APVP;Hombres;32,50
Total Nacional;02 Aragón;Enfermedades de la piel y del tejido subcutáneo;Nº de APVP;Mujeres;..
Total Nacional;02 Aragón;Enfermedades de la piel y del tejido subcutáneo;Distribución por capítulos de la CIE;Hombres;0,08
Total Nacional;02 Aragón;Enfermedades de la piel y del tejido subcutáneo;Distribución por capítulos de la CIE;Mujeres;..
Total Nacional;02 Aragón;Enfermedades de la piel y del tejido subcutáneo;Tasa estandarizada de APVP (tanto por cien mil);Hombres;4,86
Total Nacional;02 Aragón;Enfermedades de la piel y del tejido subcutáneo;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;..
Total Nacional;02 Aragón;Enfermedades de la piel y del tejido subcutáneo;Nº medio de APVP;Hombres;6,50
Total Nacional;02 Aragón;Enfermedades de la piel y del tejido subcutáneo;Nº medio de APVP;Mujeres;..
Total Nacional;02 Aragón;Enfermedades del sistema osteomuscular y del tejido conjuntivo;Nº de APVP;Hombres;85,00
Total Nacional;02 Aragón;Enfermedades del sistema osteomuscular y del tejido conjuntivo;Nº de APVP;Mujeres;165,00
Total Nacional;02 Aragón;Enfermedades del sistema osteomuscular y del tejido conjuntivo;Distribución por capítulos de la CIE;Hombres;0,22
Total Nacional;02 Aragón;Enfermedades del sistema osteomuscular y del tejido conjuntivo;Distribución por capítulos de la CIE;Mujeres;0,84
Total Nacional;02 Aragón;Enfermedades del sistema osteomuscular y del tejido conjuntivo;Tasa estandarizada de APVP (tanto por cien mil);Hombres;12,64
Total Nacional;02 Aragón;Enfermedades del sistema osteomuscular y del tejido conjuntivo;Tasa estandarizada de APVP (tanto por cien mil);Mujeres;23,40
Total Nacional;02 Aragón;Enfermedades del sistema osteomuscular y del tejido conjuntivo;Nº medio de APVP;Hombres;7,08
Total Nacional;02 Aragón;Enfermedades del sistema osteomuscular y del tejido conjuntivo;Nº medio de APVP;Mujeres;10,31
Total Nacional;02 Aragón;Enfermedades del sistema genitourinario;Nº de APVP;Hombres;365,00
Total Nacional;02 Aragón;Enfermedades del sistema genitourinario;Nº de APVP;Mujeres;207,50
Total Nacional;02 Aragón;Enfermedades del sistema genitourinario;Distribución por capítulos de la CIE;Hombres;0,94
Total Nacional;02 Aragón;Enfermedades del sistema genitourinario;Distribución por capítulos de la CIE;Mujeres;1,06
